col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i
SHP-002626,W-08,FG-0045,2026-03-21,100,100,1,1,北日本
SHP-002627,W-09,FG-0033,2026-01-02,50,50,1,1,海外
SHP-002628,W-11,FG-0051,2024-09-29,50,50,0,1,東日本
SHP-002629,W-14,FG-0052,2024-09-18,100,100,1,1,北日本
SHP-002630,W-14,FG-0070,2025-05-28,20,17,1,0,西日本
SHP-002631,W-11,FG-0049,2025-10-29,100,100,0,1,東日本
SHP-002632,W-08,FG-0066,2024-11-28,10,10,1,1,海外
SHP-002633,W-20,FG-0073,2024-09-05,50,50,0,1,北日本
SHP-002634,W-24,FG-0019,2025-09-27,100,100,0,1,北日本
SHP-002635,W-07,FG-0053,2025-07-15,10,10,1,1,西日本
SHP-002636,W-05,FG-0055,2025-05-22,10,6,1,0,西日本
SHP-002637,W-03,FG-0044,2024-07-19,10,10,1,1,東日本
SHP-002638,W-17,FG-0010,2025-10-23,20,20,1,1,北日本
SHP-002639,W-07,FG-0032,2024-10-02,10,10,1,1,海外
SHP-002640,W-13,FG-0027,2024-09-13,50,50,1,1,東日本
SHP-002641,W-24,FG-0013,2025-09-13,100,100,0,1,西日本
SHP-002642,W-10,FG-0068,2025-06-02,10,10,0,1,東日本
SHP-002643,W-15,FG-0026,2024-06-29,20,20,1,1,西日本
SHP-002644,W-09,FG-0058,2025-01-10,10,10,1,1,海外
SHP-002645,W-05,FG-0033,2024-07-27,100,100,1,1,北日本
SHP-002646,W-04,FG-0026,2026-03-25,100,100,1,1,東日本
SHP-002647,W-03,FG-0063,2024-03-17,50,50,1,1,東日本
SHP-002648,W-02,FG-0035,2024-04-22,50,50,1,1,海外
SHP-002649,W-23,FG-0052,2025-11-29,10,10,1,1,東日本
SHP-002650,W-06,FG-0054,2025-04-19,50,50,1,1,西日本
SHP-002651,W-05,FG-0079,2025-04-23,10,10,1,1,西日本
SHP-002652,W-12,FG-0038,2025-04-21,10,10,1,1,海外
SHP-002653,W-10,FG-0014,2024-06-29,100,100,1,1,北日本
SHP-002654,W-24,FG-0066,2024-11-21,50,50,1,1,東日本
SHP-002655,W-19,FG-0014,2025-02-07,100,100,1,1,海外
SHP-002656,W-06,FG-0017,2024-09-22,100,100,1,1,北日本
SHP-002657,W-12,FG-0047,2025-01-27,10,10,1,1,東日本
SHP-002658,W-20,FG-0049,2024-11-08,20,20,1,1,東日本
SHP-002659,W-09,FG-0004,2024-11-15,50,50,1,1,海外
SHP-002660,W-11,FG-0029,2026-02-13,20,20,1,1,北日本
SHP-002661,W-05,FG-0040,2025-06-14,20,20,1,1,海外
SHP-002662,W-23,FG-0038,2025-03-13,50,50,1,1,東日本
SHP-002663,W-06,FG-0036,2025-03-21,50,50,1,1,西日本
SHP-002664,W-18,FG-0021,2024-11-10,50,50,1,1,北日本
SHP-002665,W-22,FG-0007,2024-02-27,50,50,1,1,北日本
SHP-002666,W-23,FG-0036,2024-01-12,10,10,1,1,東日本
SHP-002667,W-03,FG-0025,2026-03-25,50,50,1,1,西日本
SHP-002668,W-10,FG-0033,2025-04-15,50,50,1,1,海外
SHP-002669,W-01,FG-0056,2025-08-01,50,50,1,1,東日本
SHP-002670,W-24,FG-0063,2025-10-10,20,20,1,1,北日本
SHP-002671,W-10,FG-0069,2024-12-30,50,31,1,0,東日本
SHP-002672,W-16,FG-0028,2026-01-02,10,10,1,1,北日本
SHP-002673,W-23,FG-0027,2026-04-14,10,10,1,1,海外
SHP-002674,W-11,FG-0004,2025-03-16,10,10,1,1,北日本
SHP-002675,W-22,FG-0029,2024-06-19,100,100,1,1,北日本
SHP-002676,W-24,FG-0034,2024-03-25,100,100,1,1,東日本
SHP-002677,W-14,FG-0055,2026-04-29,100,100,1,1,西日本
SHP-002678,W-11,FG-0058,2024-02-19,10,10,1,1,北日本
SHP-002679,W-04,FG-0007,2024-09-13,50,50,1,1,海外
SHP-002680,W-17,FG-0038,2026-04-08,100,66,1,0,東日本
SHP-002681,W-07,FG-0021,2024-05-10,20,20,0,1,東日本
SHP-002682,W-23,FG-0026,2024-11-15,100,100,1,1,海外
SHP-002683,W-11,FG-0002,2025-05-26,20,13,0,0,東日本
SHP-002684,W-17,FG-0068,2025-03-14,100,100,1,1,東日本
SHP-002685,W-05,FG-0052,2025-09-28,50,50,1,1,北日本
SHP-002686,W-08,FG-0009,2024-04-20,10,10,0,1,東日本
SHP-002687,W-03,FG-0044,2025-07-11,100,100,1,1,東日本
SHP-002688,W-09,FG-0075,2024-04-12,10,10,1,1,北日本
SHP-002689,W-14,FG-0069,2024-05-11,50,50,1,1,東日本
SHP-002690,W-16,FG-0078,2025-11-08,20,15,1,0,海外
SHP-002691,W-07,FG-0058,2025-06-13,20,20,1,1,西日本
SHP-002692,W-07,FG-0012,2025-11-08,20,20,1,1,西日本
SHP-002693,W-12,FG-0034,2024-05-20,100,100,0,1,海外
SHP-002694,W-10,FG-0002,2025-07-22,50,50,1,1,西日本
SHP-002695,W-16,FG-0015,2025-12-12,100,100,1,1,北日本
SHP-002696,W-07,FG-0026,2025-01-13,20,20,1,1,海外
SHP-002697,W-17,FG-0046,2026-03-08,20,20,1,1,北日本
SHP-002698,W-01,FG-0059,2024-03-18,100,83,1,0,海外
SHP-002699,W-23,FG-0002,2025-11-15,100,100,1,1,東日本
SHP-002700,W-06,FG-0019,2024-06-23,10,10,1,1,海外
SHP-002701,W-21,FG-0024,2024-11-06,20,17,1,0,東日本
SHP-002702,W-04,FG-0033,2024-11-21,50,40,1,0,東日本
SHP-002703,W-24,FG-0022,2025-08-29,100,100,1,1,海外
SHP-002704,W-24,FG-0005,2025-10-22,10,7,0,0,北日本
SHP-002705,W-03,FG-0013,2024-08-16,10,10,1,1,東日本
SHP-002706,W-15,FG-0014,2026-03-29,20,20,1,1,東日本
SHP-002707,W-11,FG-0056,2025-08-21,10,10,1,1,海外
SHP-002708,W-05,FG-0029,2024-12-15,50,50,1,1,海外
SHP-002709,W-13,FG-0063,2024-03-23,10,10,1,1,北日本
SHP-002710,W-24,FG-0079,2024-04-02,20,20,1,1,東日本
SHP-002711,W-01,FG-0046,2026-02-06,50,50,1,1,西日本
SHP-002712,W-13,FG-0015,2026-04-24,10,10,1,1,西日本
SHP-002713,W-11,FG-0034,2025-08-20,10,10,1,1,東日本
SHP-002714,W-17,FG-0073,2025-11-14,50,50,1,1,東日本
SHP-002715,W-12,FG-0076,2024-10-03,100,100,1,1,東日本
SHP-002716,W-08,FG-0055,2025-12-31,100,100,1,1,北日本
SHP-002717,W-03,FG-0041,2024-08-29,100,65,1,0,海外
SHP-002718,W-20,FG-0017,2024-09-01,50,50,1,1,北日本
SHP-002719,W-11,FG-0056,2024-03-02,20,20,1,1,東日本
SHP-002720,W-08,FG-0058,2024-03-09,10,10,1,1,北日本
SHP-002721,W-06,FG-0026,2024-03-21,10,10,1,1,北日本
SHP-002722,W-23,FG-0065,2025-11-13,20,20,0,1,海外
SHP-002723,W-19,FG-0032,2024-11-25,100,100,1,1,北日本
SHP-002724,W-22,FG-0037,2025-08-03,10,10,1,1,海外
SHP-002725,W-19,FG-0043,2025-06-23,10,8,1,0,西日本
SHP-002726,W-10,FG-0076,2025-01-08,100,100,0,1,海外
SHP-002727,W-03,FG-0073,2024-07-26,20,20,1,1,西日本
SHP-002728,W-19,FG-0034,2024-01-25,100,100,1,1,海外
SHP-002729,W-18,FG-0040,2025-12-18,50,50,1,1,海外
SHP-002730,W-15,FG-0007,2024-03-12,50,50,1,1,東日本
SHP-002731,W-09,FG-0040,2025-10-23,10,7,1,0,海外
SHP-002732,W-13,FG-0056,2025-11-20,20,20,1,1,海外
SHP-002733,W-20,FG-0007,2024-08-05,20,20,1,1,西日本
SHP-002734,W-12,FG-0043,2026-03-20,100,100,1,1,西日本
SHP-002735,W-01,FG-0045,2024-06-28,100,100,1,1,北日本
SHP-002736,W-07,FG-0023,2026-01-15,10,10,0,1,東日本
SHP-002737,W-06,FG-0072,2025-05-04,50,50,1,1,西日本
SHP-002738,W-18,FG-0073,2025-11-08,50,44,0,0,北日本
SHP-002739,W-05,FG-0044,2025-07-12,50,50,1,1,東日本
SHP-002740,W-08,FG-0070,2025-01-10,20,20,1,1,西日本
SHP-002741,W-23,FG-0077,2024-09-26,100,100,1,1,東日本
SHP-002742,W-16,FG-0016,2025-05-04,50,50,1,1,西日本
SHP-002743,W-18,FG-0005,2024-08-23,100,100,1,1,北日本
SHP-002744,W-02,FG-0079,2024-01-25,10,10,1,1,北日本
SHP-002745,W-18,FG-0060,2024-11-08,100,70,1,0,北日本
SHP-002746,W-15,FG-0048,2026-03-14,50,50,1,1,海外
SHP-002747,W-20,FG-0028,2026-01-22,50,46,1,0,東日本
SHP-002748,W-06,FG-0031,2025-01-20,20,20,1,1,北日本
SHP-002749,W-18,FG-0063,2024-03-09,100,100,0,1,北日本
SHP-002750,W-19,FG-0039,2024-03-19,100,100,1,1,西日本
SHP-002751,W-13,FG-0010,2024-04-10,50,46,1,0,西日本
SHP-002752,W-02,FG-0048,2025-09-13,10,10,1,1,海外
SHP-002753,W-20,FG-0060,2024-12-07,50,50,0,1,西日本
SHP-002754,W-20,FG-0054,2025-12-06,100,100,1,1,東日本
SHP-002755,W-11,FG-0057,2026-02-18,20,20,1,1,東日本
SHP-002756,W-17,FG-0062,2025-07-07,100,60,1,0,北日本
SHP-002757,W-18,FG-0014,2026-02-24,10,10,1,1,海外
SHP-002758,W-06,FG-0037,2025-11-15,20,20,1,1,東日本
SHP-002759,W-07,FG-0039,2025-04-14,50,38,1,0,北日本
SHP-002760,W-11,FG-0021,2026-01-19,50,50,1,1,西日本
SHP-002761,W-03,FG-0013,2025-07-10,100,100,1,1,北日本
SHP-002762,W-19,FG-0021,2024-03-24,100,100,1,1,東日本
SHP-002763,W-16,FG-0047,2024-07-27,50,50,1,1,西日本
SHP-002764,W-20,FG-0040,2024-01-02,20,20,1,1,西日本
SHP-002765,W-06,FG-0010,2025-09-08,20,20,1,1,北日本
SHP-002766,W-02,FG-0062,2024-11-14,100,100,1,1,海外
SHP-002767,W-14,FG-0066,2024-08-28,10,10,1,1,東日本
SHP-002768,W-05,FG-0032,2024-07-12,20,20,1,1,東日本
SHP-002769,W-24,FG-0023,2024-10-06,10,10,0,1,西日本
SHP-002770,W-20,FG-0019,2024-01-26,10,10,1,1,北日本
SHP-002771,W-03,FG-0076,2024-05-24,50,50,1,1,海外
