product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------
FG-0071,医療機器製品_071,医療機器,FG,181275,主力
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0072,自動車部品製品_072,自動車部品,FG,137269.83,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0073,医療機器製品_073,医療機器,FG,95027.6,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0074,医療機器製品_074,医療機器,FG,103066.8,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0075,家電製品_075,家電,FG,164293.79,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0076,家電製品_076,家電,FG,175235.37,主力
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0077,医療機器製品_077,医療機器,FG,175452.8,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0078,産業機器製品_078,産業機器,FG,143723.19,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0079,産業機器製品_079,産業機器,FG,60587.29,主力
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0080,自動車部品製品_080,自動車部品,FG,92617.25,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0031,医療機器製品_031,医療機器,FG,95470.85,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0032,医療機器製品_032,医療機器,FG,137821.03,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0033,自動車部品製品_033,自動車部品,FG,173528.14,型落ち
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0034,自動車部品製品_034,自動車部品,FG,34436.69,主力
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0035,医療機器製品_035,医療機器,FG,91230.57,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0036,自動車部品製品_036,自動車部品,FG,120326.85,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0037,産業機器製品_037,産業機器,FG,65529.53,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0038,産業機器製品_038,産業機器,FG,16093.56,通常
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0039,産業機器製品_039,産業機器,FG,130709.96,主力
product_id,product_name,product_family,product_type,unit_price_excl_tax,product_status
----------,------------,--------------,------------,-------------------,--------------

FG-0040,医療機器製品_040,医療機器,FG,95228.77,型落ち
