warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------
W-04,倉庫_04,北日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-05,倉庫_05,北日本,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-06,倉庫_06,東日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-19,倉庫_19,海外,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-20,倉庫_20,北日本,両用
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-21,倉庫_21,西日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-07,倉庫_07,海外,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-08,倉庫_08,西日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-09,倉庫_09,西日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-10,倉庫_10,北日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-11,倉庫_11,海外,両用
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-12,倉庫_12,海外,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-13,倉庫_13,北日本,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-14,倉庫_14,北日本,両用
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-15,倉庫_15,東日本,両用
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-16,倉庫_16,東日本,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-17,倉庫_17,海外,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-18,倉庫_18,西日本,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-22,倉庫_22,北日本,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-23,倉庫_23,海外,完成品
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-24,倉庫_24,海外,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-01,倉庫_01,西日本,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-02,倉庫_02,東日本,両用
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------

W-03,倉庫_03,海外,原材料
warehouse_id,warehouse_name,region,warehouse_type
------------,--------------,------,--------------


Statement ID: {56D4CFCF-7705-429B-833D-73E4075288AD} | Query hash: 0xF98B6289A97BF6CC | Distributed request ID: {BC8EE15F-C096-4DC0-B06E-31EA5A9FFD52}
