supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------
S-0050,サプライヤー_050,中国,A,48,2018-01-03
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0051,サプライヤー_051,韓国,A,33,2017-08-07
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0052,サプライヤー_052,ドイツ,A,17,2016-01-13
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0053,サプライヤー_053,ベトナム,B,25,2016-12-24
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0054,サプライヤー_054,米国,A,19,2014-04-02
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0055,サプライヤー_055,日本,C,27,2010-01-19
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0056,サプライヤー_056,米国,C,40,2012-01-17
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0057,サプライヤー_057,中国,A,11,2019-02-22
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0058,サプライヤー_058,韓国,B,14,2019-04-19
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0059,サプライヤー_059,日本,C,12,2016-11-19
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0060,サプライヤー_060,タイ,B,20,2020-12-11
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0022,サプライヤー_022,ベトナム,C,44,2016-10-13
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0023,サプライヤー_023,タイ,A,15,2018-08-03
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0024,サプライヤー_024,日本,A,16,2020-03-26
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0025,サプライヤー_025,ドイツ,C,11,2016-07-20
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0026,サプライヤー_026,米国,C,23,2018-01-22
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0027,サプライヤー_027,中国,C,41,2022-05-25
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0028,サプライヤー_028,タイ,A,25,2016-03-15
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0036,サプライヤー_036,ベトナム,C,45,2016-04-18
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0037,サプライヤー_037,韓国,C,26,2016-11-21
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0038,サプライヤー_038,タイ,B,40,2017-02-08
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0039,サプライヤー_039,韓国,A,28,2010-10-18
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0040,サプライヤー_040,韓国,C,21,2010-02-23
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0041,サプライヤー_041,日本,A,11,2010-06-03
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0042,サプライヤー_042,韓国,B,49,2017-04-18
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

S-0008,サプライヤー_008,韓国,B,13,2011-07-04
supplier_id,supplier_name,country,supplier_grade,standard_lead_time_days,contract_start_date
-----------,-------------,-------,--------------,-----------------------,-------------------

